,selpT0,selpT1,selpT2,selpT3,selEta0,selEta1,selEta2,selEta3,selPhi0,selPhi1,selPhi2,selPhi3,selCharge0,selCharge1,selCharge2,selCharge3,dPhi0,dPhi1,dRA0,dRA1,event,invMassA0,invMassA1,Predict
293,44.23088073730469,8.1201753616333,9.622963905334473,27.584327697753906,-0.1373414695262909,-0.07682481408119202,-1.9160212278366089,0.18580569326877594,1.5191879272460938,-1.9214428663253784,-0.7093122601509094,1.87877357006073,1.0,-1.0,1.0,-1.0,3.4406309127807617,-2.588085889816284,3.441163080060118,3.334046327919,97.0,37.497822547007054,51.533284655054125,0.0
296,13.148730278015137,35.19269561767578,66.74401092529297,12.100223541259766,-0.01040076743811369,-0.07305994629859924,0.7535881400108337,-0.12685970962047577,-1.6483023166656494,0.3490094840526581,1.0281147956848145,3.047229766845703,-1.0,1.0,-1.0,1.0,-1.9973118305206299,-2.0191149711608887,1.9982944531232816,2.2027286961688732,98.0,36.196232582077755,54.61609613185819,0.0
299,23.760845184326172,30.837682723999023,25.82243537902832,52.53532028198242,1.4826277494430542,0.5447828769683838,0.7490149140357971,0.791349470615387,-0.8819942474365234,0.21085360646247864,-1.9095690250396729,1.0201653242111206,-1.0,1.0,1.0,-1.0,-1.0928478240966797,-2.929734230041504,1.4400935287195336,2.9300400805036224,99.0,38.5295634679279,73.26751999062601,0.0
302,12.817503929138184,32.30667495727539,13.286564826965332,37.941673278808594,0.04310242831707001,0.7758386135101318,-0.411361426115036,1.2274781465530396,1.5048354864120483,2.7356300354003906,-0.6370013356208801,2.471937417984009,-1.0,1.0,1.0,-1.0,-1.2307945489883423,-3.108938694000244,1.4323957264225058,3.5144409293196657,100.0,28.007961664035484,60.8389268345185,0.0
305,11.886157989501953,54.2214241027832,24.0809326171875,11.766434669494629,-1.7448539733886719,0.059326183050870895,-1.609592318534851,0.013715761713683605,1.100335955619812,1.3657411336898804,2.874542474746704,0.6015864014625549,1.0,-1.0,-1.0,1.0,-0.26540517807006836,2.272956132888794,1.8235969689353098,2.793109136426229,101.0,52.701864700126784,43.10938089079288,0.0
308,22.41486358642578,27.22064781188965,23.850879669189453,27.609142303466797,0.4510515630245209,0.750891387462616,-0.40861058235168457,-0.9244958758354187,2.2449800968170166,-0.8764761090278625,1.4681345224380493,-1.2698442935943604,-1.0,1.0,1.0,-1.0,3.1214561462402344,2.737978935241699,3.1358240373496726,2.7861561847570693,102.0,49.95606025216262,52.032285333200186,0.0
311,69.46723175048828,18.446821212768555,24.38576889038086,17.057750701904297,-1.3682605028152466,-0.37229984998703003,-0.9648770689964294,-0.8621464371681213,3.0009512901306152,-0.047429002821445465,2.3877456188201904,-3.0362651348114014,1.0,-1.0,-1.0,1.0,3.0483803749084473,5.424010753631592,3.2069550249588743,5.424983524235533,103.0,80.58783923121307,17.117891391205244,0.0
314,36.65205383300781,21.103025436401367,34.25548553466797,14.74476432800293,-1.578864336013794,-0.8015832304954529,-1.3105472326278687,-0.9732299447059631,2.9764821529388428,-1.874517560005188,1.8563088178634644,-1.8970420360565186,1.0,-1.0,-1.0,1.0,4.85099983215332,3.7533507347106934,4.91287749578059,3.768477768341521,104.0,42.714307686274246,43.533522049263965,0.0
317,37.26436996459961,9.482718467712402,17.636911392211914,29.387622833251953,-0.5913517475128174,-0.7039145231246948,0.24548037350177765,0.1648734211921692,-0.5394579768180847,1.5368168354034424,2.4911603927612305,-0.906966507434845,1.0,-1.0,1.0,-1.0,-2.076274871826172,3.3981268405914307,2.0793238616988545,3.3990827447281333,105.0,32.45669078130231,45.1959517341433,0.0
320,9.077606201171875,24.96343231201172,11.380139350891113,46.39729690551758,0.9586928486824036,0.001380703179165721,-0.32889124751091003,-0.4016551673412323,-2.533308982849121,1.2669974565505981,-2.980465888977051,-1.2816041707992554,-1.0,1.0,1.0,-1.0,-3.8003063201904297,-1.6988617181777954,3.919027266015587,1.700419279330567,106.0,32.181330254113576,34.54970137480576,0.0
