,selpT0,selpT1,selpT2,selpT3,selEta0,selEta1,selEta2,selEta3,selPhi0,selPhi1,selPhi2,selPhi3,selCharge0,selCharge1,selCharge2,selCharge3,dPhi0,dPhi1,dRA0,dRA1,event,invMassA0,invMassA1,Predict
31,55.75521469116211,10.5464506149292,33.481353759765625,41.378700256347656,0.1393754631280899,-0.24307100474834442,1.3727070093154907,0.5773738622665405,1.910989761352539,-1.72922945022583,-0.5569473505020142,-0.4178081154823303,-1.0,1.0,-1.0,1.0,3.640219211578369,-0.13913923501968384,3.660254254711741,0.8074122500412351,10.0,47.916014800810295,30.82708318812066,0.0
34,22.410930633544922,30.022666931152344,29.709209442138672,16.62803840637207,-0.5514745116233826,-1.2763649225234985,-0.9273436069488525,-1.122876763343811,0.28266945481300354,-1.6463254690170288,-2.955490827560425,-1.8113547563552856,-1.0,1.0,1.0,-1.0,1.92899489402771,-1.1441360712051392,2.0607007082543345,1.1607241552938004,11.0,46.76275949749287,24.45583260964093,0.0
37,8.18873405456543,29.9858341217041,23.5250301361084,31.95792007446289,0.8789044618606567,0.616819441318512,1.35590660572052,1.0934276580810547,-2.7163896560668945,-2.971708297729492,-0.47763174772262573,2.359382390975952,1.0,-1.0,-1.0,1.0,0.25531864166259766,-2.8370141983032227,0.36589092196037115,2.8491305269025493,12.0,5.73435089005633,54.68209854359092,0.0
41,61.74709701538086,10.957709312438965,32.68220520019531,9.713674545288086,-0.013529447838664055,0.8649613857269287,1.0176182985305786,0.632503092288971,1.787542700767517,-1.8048495054244995,-0.3089454770088196,-1.6187889575958252,1.0,-1.0,-1.0,1.0,3.5923922061920166,1.3098435401916504,3.698246592464923,1.3652852529271353,13.0,55.92732736847829,22.77686023575378,0.0
43,26.189193725585938,14.305307388305664,21.0449275970459,26.067068099975586,-1.5875000953674316,-0.0008763495716266334,0.9993295073509216,-0.2310599535703659,-2.7272989749908447,-2.2376387119293213,2.6674931049346924,0.4664105176925659,-1.0,1.0,-1.0,1.0,-0.48966026306152344,2.201082706451416,1.6604644583633765,2.5216310877791246,14.0,35.30419378161441,51.811874480181956,0.0
45,57.84939193725586,33.885955810546875,11.626736640930176,8.139823913574219,-0.9848166108131409,-0.9828410744667053,-1.0738705396652222,-0.34301143884658813,2.9650683403015137,1.1071501970291138,1.27165687084198,1.328173279762268,1.0,-1.0,-1.0,1.0,1.8579181432724,-0.056516408920288086,1.8579191935723733,0.7330410150371311,15.0,70.92846798900506,7.29006781964586,0.0
48,47.00975036621094,41.909889221191406,10.928439140319824,9.239325523376465,1.0444704294204712,-0.7605704069137573,2.0785698890686035,-0.11722882091999054,-0.3832198679447174,0.29720550775527954,1.9034546613693237,-3.1208653450012207,1.0,-1.0,-1.0,1.0,-0.6804254055023193,5.024320125579834,1.9290285517034647,5.483185604363091,16.0,96.12630072675225,29.26955939996516,0.0
53,32.53646469116211,12.660700798034668,14.908354759216309,29.12212371826172,-1.4342128038406372,-0.4632985293865204,-0.1404743194580078,-0.433573842048645,-0.26477038860321045,-1.0143240690231323,-0.7854537963867188,1.7044813632965088,1.0,-1.0,1.0,-1.0,0.7495536804199219,-2.4899351596832275,1.226582728681117,2.5071267278639104,17.0,25.31012702398475,39.953468250801436,0.0
56,12.21181583404541,38.27507400512695,13.586312294006348,60.76375198364258,1.0976147651672363,0.3969583511352539,1.0355229377746582,0.2643326222896576,2.645855665206909,1.5701824426651,2.877394437789917,-0.888154923915863,-1.0,1.0,1.0,-1.0,1.075673222541809,3.765549421310425,1.283741520796783,3.8437087430062395,18.0,27.01202673771949,59.21921464666584,0.0
58,12.048280715942383,24.461198806762695,17.20178985595703,26.38526153564453,-0.222825288772583,-0.29981350898742676,-1.7625564336776733,-0.808390200138092,0.34063521027565,0.17551067471504211,-2.290276527404785,1.9753310680389404,1.0,-1.0,-1.0,1.0,0.1651245355606079,-4.265607833862305,0.18219028046511082,4.371023151795764,19.0,3.1249376680986014,41.77909674779601,0.0
